=== Circuit Statistics ===
Circuits: 185
Total width: 15763
Total FFT cost: 147111354325 (1.47e11)
Total cache hits: 72393508
Total saved cost: 63.21%
--------------------------------------------------------------------------------------------
Name                             Width Sel Aux Lkp  Height     Hits FFT cost       %     %++
--------------------------------------------------------------------------------------------
klimbs_scalar_value                117   7  63  21       0        0        0   0.00% 100.00%
list_length_u64.RecursorRule        43   2  28   4       0        0        0   0.00% 100.00%
get_ctor_entry_list_inner           90   2  63   6       0        0        0   0.00% 100.00%
rbtree_map_balance_fix.G           122  57  31   8       0        0        0   0.00% 100.00%
k_shape_75                          81   3  65   3       0        0        0   0.00% 100.00%
check_mut_const                    127   3   1  10       0        0        0   0.00% 100.00%
k_shape_81                         152  23  90  14       0        0        0   0.00% 100.00%
get_reveal_rule_list_inner          59   2  32   6       0        0        0   0.00% 100.00%
get_reveal_ctor_info                80   1  64   9       0        0        0   0.00% 100.00%
k_shape_60                         111   7  35   8       0        0        0   0.00% 100.00%
list_length_u64.U8_8                42   2  27   4       0        0        0   0.00% 100.00%
k_shape_59                          89   3  34  10       0        0        0   0.00% 100.00%
univ_succ_count                     49   2  26   4       0        0        0   0.00% 100.00%
k_shape_80                         132  11  85  12       0        0        0   0.00% 100.00%
str_lit_to_ctor                     49   1  21  21       0        0        0   0.00% 100.00%
memory[19]                          28   0   0   0       0        0        0   0.00% 100.00%
k_shape_79                         118   9  80   8       0        0        0   0.00% 100.00%
canon_addr_cmp                     105   1  80  18       0        0        0   0.00% 100.00%
list_length_u64.MutConst            79   2  64   4       0        0        0   0.00% 100.00%
canon_cmp_kexpr_node_ctx            79  40  12   7       0        0        0   0.00% 100.00%
memory[50]                          59   0   0   0       0        0        0   0.00% 100.00%
memory[64]                          73   0   0   0       0        0        0   0.00% 100.00%
try_str_dispatch                   128  18  47  28       0        0        0   0.00% 100.00%
