=== Circuit Statistics ===
Circuits: 730
Total width: 33331
Total FFT cost: 135187270227 (1.35e11)
Total cache hits: 72393508
Total saved cost: 57.23%
----------------------------------------------------------------------------------------------------------------------------------------------
Name                                                                               Width Sel Aux Lkp  Height     Hits FFT cost       %     %++
----------------------------------------------------------------------------------------------------------------------------------------------
expr_inst1_bvar                                                                       20   3   4   3   29243        0   4.44e7   0.03%  99.38%
k_is_def_eq_slow                                                                      26   4   7   4   22695        0   4.35e7   0.03%  99.41%
expr_inst_levels                                                                      20   2   6   3   27486   203854   4.15e7   0.03%  99.44%
get_all_telescope                                                                     42   2  15   6   13871        8   4.06e7   0.03%  99.47%
whnf_nd_proj_head                                                                     61   4  28  10    9205        0   3.73e7   0.03%  99.50%
walk_refs_transitive                                                                  27   4   6   5   19062      467   3.73e7   0.03%  99.52%
nat_offset_of                                                                         58  12  23   9    9203     3526   3.55e7   0.03%  99.55%
ctx_close_cut                                                                         46   3  17  10   11155     3972   3.49e7   0.03%  99.58%
u64_is_zero                                                                           25   9   2   1   18991   574396   3.44e7   0.03%  99.60%
relaxed_u64_pred                                                                      25   9   2   1   18983   276989   3.44e7   0.03%  99.63%
k_is_def_eq_slow2                                                                     58   9  20  11    8692        0   3.33e7   0.02%  99.65%
k_ensure_sort                                                                         18   1   7   4   23106    11234   3.10e7   0.02%  99.67%
str_lit_to_ctor_app_or_self                                                           24   3   7   4   15628    41101   2.67e7   0.02%  99.69%
blake3_compress_layer                                                                223   3 170   6    2064        0   2.54e7   0.02%  99.71%
list_is_empty.U8                                                                      15   2   4   2   19025    18852   2.10e7   0.02%  99.73%
flatten_u64                                                                           14   1   1   1   18983    99858   1.92e7   0.01%  99.74%
blake3_finish                                                                        190  11 151   9    1707        0   1.75e7   0.01%  99.76%
blake3_next_layer                                                                    221   4 136   5    1464        0   1.71e7   0.01%  99.77%
try_def_eq_nat                                                                        41   4  16   7    6316      478   1.66e7   0.01%  99.78%
is_nat_zero                                                                           24   4   7   4    9134     3498   1.47e7   0.01%  99.79%
head_addr                                                                             24   2   9   4    9059     3989   1.46e7   0.01%  99.80%
ctx_next_cut                                                                          16   1   6   4   12668    23715   1.43e7   0.01%  99.81%
lazy_delta_loop                                                                       35   7  10   5    6269      470   1.41e7   0.01%  99.82%
get_constant                                                                         162   3 136   9    1621        0   1.41e7   0.01%  99.83%
replace_spine_major                                                                   23   1   7   7    8498      163   1.31e7   0.01%  99.84%
try_unit_like                                                                         28   2   7   6    6443      643   1.16e7   0.01%  99.85%
try_proof_irrel                                                                       25   2   6   5    6483      643   1.05e7   0.01%  99.86%
load_verified_constant                                                               100   1  88   5    1621     2066   8.70e6   0.01%  99.87%
get_ci                                                                                97  10  68   7    1542   348070   7.98e6   0.01%  99.87%
blake3                                                                                86   1  72   8    1707      114   7.94e6   0.01%  99.88%
try_nat_dispatch_prewhnf                                                              86   8  31  20    1550        0   7.12e6   0.01%  99.88%
memory[34]                                                                            43   0   0   0    2815     7298   7.04e6   0.01%  99.89%
run_check_transitive                                                                  79   7  55   6    1621    15636   6.89e6   0.01%  99.89%
verify_bytes_against                                                                  73   1  33   2    1707        0   6.75e6   0.00%  99.90%
const_idxs_of                                                                         77   6   7   6    1621        0   6.71e6   0.00%  99.90%
check_const                                                                           75   8  20  15    1542       79   6.18e6   0.00%  99.91%
expr_lift_bvar                                                                        39   2  14   8    2657        0   5.99e6   0.00%  99.91%
get_constant_info_by_variant                                                          64   8  46   2    1542        0   5.28e6   0.00%  99.92%
prim_family                                                                          161  23  59  37     510   254254   3.71e6   0.00%  99.92%
whnf_spine                                                                            25   2   7   5    2502     1358   3.62e6   0.00%  99.92%
projection_definition_info                                                            54   5  23  10    1196   151095   3.34e6   0.00%  99.92%
lbr_max                                                                               35   2  13   7    1593   890375   3.02e6   0.00%  99.93%
lbr_min                                                                               35   2  13   7    1545   388016   2.92e6   0.00%  99.93%
convert_definition                                                                    40   5   6   4    1341        0   2.83e6   0.00%  99.93%
memo_u32_less_than                                                                    28   1  13   7    1612  9659746   2.46e6   0.00%  99.93%
expr_mentions_block                                                                   40  14  10   5    1175      574   2.44e6   0.00%  99.93%
assert_safety                                                                         15   2   3   2    2730      153   2.44e6   0.00%  99.94%
is_unsafe_ci                                                                          29   9   2   1    1542     1977   2.42e6   0.00%  99.94%
const_type_of                                                                         27   8   1   1    1541      976   2.26e6   0.00%  99.94%
const_num_lvls                                                                        27   8   1   1    1541    11939   2.26e6   0.00%  99.94%
peel_params_subst                                                                     30   2  11   5    1376      290   2.20e6   0.00%  99.94%
get_definition                                                                        30   1  18   6    1341        0   2.14e6   0.00%  99.94%
run_check                                                                             24   1  14   4    1542        0   2.02e6   0.00%  99.95%
try_dec_dispatch                                                                      70   4  26  16     613        0   2.01e6   0.00%  99.95%
k_infer_proj                                                                          62   1  39  13     647        0   1.90e6   0.00%  99.95%
peel_n_alls_whnf                                                                      29   3   9   5    1215        0   1.85e6   0.00%  99.95%
is_prop_type                                                                          30   3  11   5    1141     5347   1.78e6   0.00%  99.95%
memory[12]                                                                            21   0   0   0    1548   416435   1.78e6   0.00%  99.95%
k_is_def_eq_struct_go                                                                 58  26  13   6     625        0   1.71e6   0.00%  99.95%
read_byte                                                                             18   2   5   3    1628        0   1.62e6   0.00%  99.96%
peel_field_loop                                                                       34   2   9   6     923        0   1.58e6   0.00%  99.96%
level_struct_eq                                                                       39  12  11   5     810      522   1.56e6   0.00%  99.96%
nl_subsume_entry                                                                     121  13  54  24     297       59   1.49e6   0.00%  99.96%
is_str_prim_addr                                                                      65   8  22  15     497        0   1.46e6   0.00%  99.96%
try_nat_binop_dispatch                                                                65   6  24  14     476      790   1.39e6   0.00%  99.96%
