=== Circuit Statistics ===
Circuits: 730
Total width: 33331
Total FFT cost: 49507530863 (4.95e10)
Total cache hits: 22638136
Total saved cost: 51.38%
---------------------------------------------------------------------------------------------------------------------------------------------
Name                                                                               Width Sel Aux Lkp  Height    Hits FFT cost       %     %++
---------------------------------------------------------------------------------------------------------------------------------------------
lazy_delta_both_proj                                                                  39   7  10   7     390       0   6.69e5   0.00%  99.93%
try_lazy_delta_app                                                                    72   6  39  10     225       0   6.41e5   0.00%  99.93%
level_max_go                                                                          39   6  13   7     375       0   6.39e5   0.00%  99.93%
get_ci_cprj                                                                          158   1 142   7     116    1097   6.33e5   0.00%  99.94%
level_max_offsets                                                                     47   3  18  10     306       0   6.05e5   0.00%  99.94%
get_mut_const_list                                                                    86   2  59   6     177      13   5.75e5   0.00%  99.94%
get_constructor_list                                                                  75   2  48   6     198      13   5.74e5   0.00%  99.94%
check_canonical_block                                                                123   3  75  20     127       0   5.50e5   0.00%  99.94%
try_bitvec_dispatch                                                                   66   6  23  15     211       0   5.45e5   0.00%  99.94%
build_recur_addrs_walk                                                                71   2  51   5     190       0   5.17e5   0.00%  99.94%
check_positivity_aug                                                                  78   5  35  15     175       5   5.15e5   0.00%  99.94%
canon_muts_has_kind                                                                   69   6  51   3     185      97   4.87e5   0.00%  99.94%
check_muts_all                                                                        66   2  48   4     190       0   4.81e5   0.00%  99.95%
get_univ_list                                                                         53   2  24   7     227    1859   4.79e5   0.00%  99.95%
expr_lbr_let                                                                          23   1   7   7     448       0   4.70e5   0.00%  99.95%
is_unit_like_type                                                                     60   7  34   7     197    1231   4.58e5   0.00%  99.95%
is_inductive_prop                                                                     24   1   9   6     421     244   4.56e5   0.00%  99.95%
put_constant                                                                          90   9  14   7     140      23   4.54e5   0.00%  99.95%
try_unfold_head                                                                       33   5   4   3     315      58   4.43e5   0.00%  99.95%
ctor_at                                                                               86   2  72   3     141       3   4.38e5   0.00%  99.95%
check_inductive_shape_ctors                                                           52   2  17  10     211       0   4.31e5   0.00%  99.95%
projection_addr                                                                      134   4 105   9      95     127   4.22e5   0.00%  99.95%
ensure_sort_only                                                                      30   2  12   5     326     104   4.20e5   0.00%  99.95%
normalize_aux                                                                         33   7   8   5     288     104   3.99e5   0.00%  99.96%
check_param_agreement_go                                                              34   2  12   6     272       0   3.84e5   0.00%  99.96%
wrap_foralls                                                                          22   2   6   4     390      65   3.83e5   0.00%  99.96%
get_ci_iprj                                                                          121   1 108   6      95    1037   3.81e5   0.00%  99.96%
peel_ctor_params_subst                                                                46   3  16   8     210       3   3.80e5   0.00%  99.96%
k_is_def_eq_struct                                                                    12   1   2   2     619      49   3.67e5   0.00%  99.96%
try_normalize_int_decidable                                                           64   4  26  13     152       0   3.58e5   0.00%  99.96%
glist_subset                                                                          75   5  32  16     131     280   3.50e5   0.00%  99.96%
peel_n_lams_collect                                                                   29   3  10   4     281       0   3.42e5   0.00%  99.96%
put_address                                                                          106   1  65  34      95      45   3.34e5   0.00%  99.96%
check_no_dep_data_field_if_prop                                                       28   3   7   5     280      11   3.29e5   0.00%  99.96%
muts_member_at                                                                       108   2  94   3      92     214   3.27e5   0.00%  99.96%
put_constant_info                                                                     64   8   2   2     140       0   3.24e5   0.00%  99.96%
check_positivity_fields                                                               26   2   6   5     294       0   3.24e5   0.00%  99.97%
nl_add_var                                                                            43   4  13   9     192      36   3.20e5   0.00%  99.97%
walk_fields_classify                                                                  42   3  14   7     192       3   3.13e5   0.00%  99.97%
peel_n_foralls_with_types                                                             27   3   9   4     272       3   3.07e5   0.00%  99.97%
k_synth_gate                                                                          71   4  30  14     117       4   2.90e5   0.00%  99.97%
utf8_validate                                                                         21   2   6   4     307      64   2.77e5   0.00%  99.97%
normalize_int_dec_rebuild                                                             53   3  16  12     140       0   2.70e5   0.00%  99.97%
try_nat_offset_dispatch                                                               59   4  19  14     126       0   2.64e5   0.00%  99.97%
check_block_peer_param_agreement                                                      81   4  52   4      95       0   2.56e5   0.00%  99.97%
caddr_is_peer                                                                         31   2  15   4     208      13   2.56e5   0.00%  99.97%
try_k_synth_iota                                                                      59   4  18  12     121       0   2.51e5   0.00%  99.97%
expr_inst1_let                                                                        21   1   5   5     269       0   2.38e5   0.00%  99.97%
const_idxs_muts                                                                       76   4  53   7      93      94   2.34e5   0.00%  99.97%
check_muts_member_at                                                                  74   1  15   5      95       0   2.34e5   0.00%  99.97%
compare_struct_fields                                                                 31   3   7   5     192       0   2.33e5   0.00%  99.97%
convert_constructor                                                                   57   1   6   6     116       0   2.31e5   0.00%  99.97%
const_idxs_ctors                                                                      57   2  40   5     114      91   2.26e5   0.00%  99.97%
check_field_universes_inner                                                           29   2   8   6     197       0   2.25e5   0.00%  99.97%
bytes_to_addr                                                                         44   1  34   3     140      23   2.25e5   0.00%  99.97%
delta_unfold                                                                          45   4  22   7     137     124   2.24e5   0.00%  99.97%
get_constructor                                                                       55   1  41   8     116       0   2.23e5   0.00%  99.98%
compare_rules                                                                         89   4  40  16      77       0   2.18e5   0.00%  99.98%
get_expr_let                                                                          28   1   8   5     197       0   2.17e5   0.00%  99.98%
level_offset_of                                                                       20   2   6   3     258     381   2.16e5   0.00%  99.98%
get_inductive                                                                         67   1  51   9      95       0   2.13e5   0.00%  99.98%
build_motive_apps                                                                     23   2   5   4     224       0   2.09e5   0.00%  99.98%
bytes_to_u64_limb                                                                     50  10  20   3     118       0   2.07e5   0.00%  99.98%
canon_indc_positions                                                                  67   3  50   4      93      94   2.07e5   0.00%  99.98%
count_ctors                                                                           51   2  38   3     114      94   2.03e5   0.00%  99.98%
get_mut_const                                                                         62   3  48   3      95       0   1.97e5   0.00%  99.98%
validate_univ_params_list                                                             20   2   4   4     238   11994   1.96e5   0.00%  99.98%
flat_originals_walk                                                                  100   5  68   9      64       0   1.94e5   0.00%  99.98%
put_tag0                                                                              32   3   6   5     157      31   1.89e5   0.00%  99.98%
memory[36]                                                                            45   0   0   0     114     453   1.79e5   0.00%  99.98%
check_field_universes_skip_params                                                     25   2   7   4     179       0   1.74e5   0.00%  99.98%
memory[47]                                                                            56   0   0   0      93    1214   1.74e5   0.00%  99.98%
put_tag4                                                                              33   3   6   5     140       0   1.70e5   0.00%  99.98%
dec_dispatch_le_eq                                                                    47   5  14   9     102       0   1.64e5   0.00%  99.98%
memory[10]                                                                            19   0   0   0     210   59730   1.61e5   0.00%  99.98%
dec_build_proof                                                                       95   8  30  22      57       0   1.60e5   0.00%  99.98%
glist_cmp                                                                             76   6  32  16      68     200   1.60e5   0.00%  99.98%
convert_inductive                                                                     50   1   6   6      95       0   1.59e5   0.00%  99.98%
get_result_sort_level                                                                 28   2   9   5     150     222   1.57e5   0.00%  99.98%
try_extract_int                                                                       49   6  20   9      92     251   1.50e5   0.00%  99.98%
is_rec_field_peel                                                                     40   3  16   7     108       0   1.50e5   0.00%  99.98%
dec_finish                                                                            90   4  32  22      56       0   1.48e5   0.00%  99.98%
check_ctor_return_type                                                                37   1  13  12     113     112   1.47e5   0.00%  99.98%
apply_ihs_full                                                                       100   2  30  26      51       0   1.46e5   0.00%  99.99%
addr_list_contains                                                                    24   3   7   4     159      54   1.45e5   0.00%  99.99%
is_nat_succ_ih_step                                                                   58   7  26  10      78      39   1.45e5   0.00%  99.99%
whnf_get_ctor_or_none                                                                 26   2   9   5     143   11527   1.38e5   0.00%  99.99%
load_verified_blob                                                                    46   1  36   3      89     711   1.36e5   0.00%  99.99%
build_minor_doms                                                                      54   2  19   7      77       0   1.33e5   0.00%  99.99%
get_recursor_rule_list                                                                53   2  24   7      77       0   1.31e5   0.00%  99.99%
build_flat_block                                                                     159   7 121  12      32       0   1.28e5   0.00%  99.99%
populate_rules                                                                        52   3  18   6      77       0   1.28e5   0.00%  99.99%
validate_univ_params_seen                                                             43   5  16   8      87     585   1.24e5   0.00%  99.99%
Bytes1                                                                                11   0   0   0     256       0   1.22e5   0.00%  99.99%
is_muts_block                                                                         61   2  50   2      64      96   1.19e5   0.00%  99.99%
get_constructor_proj                                                                  31   1  21   4     109       0   1.18e5   0.00%  99.99%
flat_find_matching                                                                    39   5  15   5      88      10   1.14e5   0.00%  99.99%
mk_nat_offset_stuck                                                                   37   2  10   9      88       0   1.08e5   0.00%  99.99%
build_all_minors_walk                                                                 55   3  24   8      64       0   1.08e5   0.00%  99.99%
io_peel_field_loop                                                                    30   2   9   5     103      17   1.07e5   0.00%  99.99%
nl_subsumption_walk                                                                   25   2   7   5     117      46   1.05e5   0.00%  99.99%
build_apply_field_bvars                                                               23   2   5   4     123      36   1.03e5   0.00%  99.99%
check_recursor_canonical_full                                                        125   9  50  18      32       0   1.01e5   0.00%  99.99%
convert_rec_rules                                                                     40   2  16   6      77       0   9.93e4   0.00%  99.99%
assert_first_args_are_param_bvars                                                     27   2   9   4     104      79   9.78e4   0.00%  99.99%
nl_eq                                                                                 51   7  18  10      62      58   9.64e4   0.00%  99.99%
list_any_mentions_block                                                               24   3   7   4     111      27   9.45e4   0.00%  99.99%
list_reverse_acc.G                                                                    22   2   6   4     118       0   9.36e4   0.00%  99.99%
check_field_universes                                                                 23   2   6   4     113     112   9.27e4   0.00%  99.99%
assert_return_head_is_parent                                                          27   1  15   4      94      19   8.66e4   0.00%  99.99%
bytes_to_limbs                                                                        57   5  29   9      52     683   8.64e4   0.00%  99.99%
try_nat_binop_addr                                                                   128  15  44  31      27       2   8.31e4   0.00%  99.99%
build_minor_at_depth                                                                  65   1  25  21      45       0   8.19e4   0.00%  99.99%
build_ih_doms                                                                         78   2  24  20      39      12   8.18e4   0.00%  99.99%
check_positivity                                                                      20   1   5   5     113     112   8.11e4   0.00%  99.99%
build_rec_type_from                                                                   93   3  29  23      32       0   7.56e4   0.00%  99.99%
level_list_eq                                                                         31   5  10   5      75    6077   7.51e4   0.00%  99.99%
level_equal                                                                           23   2   5   5      94    1417   7.42e4   0.00%  99.99%
put_definition_proj                                                                   22   1   3   3      95       0   7.21e4   0.00%  99.99%
get_inductive_proj                                                                    22   1  12   3      95       0   7.21e4   0.00%  99.99%
get_recursor                                                                          87   1  69  11      32       0   7.08e4   0.00%  99.99%
k_infer_lit                                                                           20   2   4   4      92       0   6.33e4   0.00%  99.99%
check_inductive_shape                                                                 19   1   3   4      95      32   6.27e4   0.00%  99.99%
count_foralls_body                                                                    20   2   6   3      91       5   6.25e4   0.00%  99.99%
level_normalize                                                                       25   1   9   9      75     105   6.11e4   0.00%  99.99%
check_recursor_member                                                                 72   3  24  14      32       0   5.88e4   0.00%  99.99%
check_param_agreement                                                                 14   1   2   3     113     112   5.80e4   0.00%  99.99%
build_peer_recs                                                                       29   2  10   5      64       0   5.80e4   0.00%  99.99%
convert_recursor                                                                      71   1   8   8      32       0   5.80e4   0.00%  99.99%
build_rule_rhs                                                                        45   1  15  12      45       0   5.72e4   0.00%  99.99%
collect_n_doms_whnf                                                                   40   4  16   7      49      20   5.68e4   0.00%  99.99%
ind_is_solo                                                                           69   3  52   4      32       0   5.64e4   0.00%  99.99%
nl_covers_var                                                                         35   4  11   6      54       1   5.63e4   0.00%  99.99%
klimbs_mul_single                                                                     86   3  47   7      27       0   5.62e4   0.00%  99.99%
muts_indc_count_is_one                                                                66   4  50   3      33      31   5.61e4   0.00%  99.99%
build_apply_xs                                                                        22   2   5   4      77      18   5.59e4   0.00%  99.99%
build_all_motives_walk                                                                51   3  24   8      40      24   5.57e4   0.00%  99.99%
build_major_params                                                                    23   2   5   4      74       0   5.55e4   0.00%  99.99%
find_peer_recursor_with_spec                                                          67   2  50   3      32       0   5.48e4   0.00% 100.00%
u64_mul                                                                              222   1 155  46      13       0   5.39e4   0.00% 100.00%
