leaf,blocks,consts,bytes,own_size,frontier_bytes,heartbeats,subst,whnf,def_eq,nat_arith,intern,unfolded_bytes,foreign_unfolded_bytes,delta_edges,foreign_delta_edges,record_bytes,execution_s,proof_s,trace_shards
207,2623,2633,23322316,23322316,10446162,14867497,15523226,970144,6114866,5793,276607629,71685409,70088204,166590,165237,38613327330,381.4,56.05,17
208,2366,2375,19346148,19346148,7998660,8878902,12991520,568527,4220101,3291,227505319,53951520,52858179,123159,122493,34828799582,286.0,56.256,16
209,4892,4936,25321220,25321220,8750751,8191741,14732521,637369,4214260,5720,250346284,54161457,51139855,139591,137246,44080665114,374.4,67.362,20
210,3675,3683,16963690,16963690,6173409,8269717,8143824,545226,3258210,9436,182770101,46424540,45150737,133400,131956,24435160746,170.8,42.468,11
211,4620,4716,13901409,13901409,6579057,8897639,7217843,605899,2735814,15717,157990769,38476077,36116436,116346,113771,21196277539,145.2,32.542,10
212,5202,5239,20831893,20831893,6772457,14471692,12130057,949548,3994037,21032,278955068,54062707,49756091,146466,143852,33458210184,482.7,50.202,16
213,12877,13113,25150857,25150857,5894410,11748166,15486024,1360958,4609636,9941,253540978,55565780,48217323,164116,156586,33198178561,252.6,52.56,16
214,1935,1952,26721587,26721587,9678125,11381976,19760816,779822,4903386,8084,273994652,51173440,49993275,118690,117817,52531457405,510.0,92.176,23
215,2329,2346,17910375,17910375,12804937,10841212,13408181,755292,4759402,1774,248770658,54772729,53718912,117640,116848,42157026050,344.4,63.593,19
216,2170,2176,14668487,14668487,8598193,5683454,9497437,393297,3066901,1439,161841300,38624043,37644199,87527,86629,28354628541,219.6,44.588,13
217,4491,4512,26700264,26700264,12434223,10006149,16901050,732692,5456277,3040,293872880,71021456,68370864,167110,164941,49779272475,413.9,82.881,23
218,5694,5729,21853477,21853477,8646611,11139920,15598342,838406,5069056,2150,310504496,72181106,65430198,153731,149561,45728378268,354.7,75.516,21
219,2522,2549,22144280,22144280,6980002,13202646,17342720,804949,5803094,947,384312973,81121851,75535136,131702,129795,40723066678,374.7,69.889,18
220,2363,2377,18301928,18301928,5560613,8987600,14155177,629369,4407132,343,281711016,60662356,58049868,111239,110093,38443312968,313.5,59.632,18
221,1528,1566,14555371,14555371,6547569,6340698,9495448,403495,2683659,3715,144471904,32979915,32253433,79011,78433,28796251052,246.4,46.148,13
222,2028,2030,11954329,11954329,4866718,3901573,7088534,300117,2338291,2209,115734283,28261216,27533857,75589,74952,19042978193,136.4,35.377,10
223,2889,2914,21694870,21694870,6610696,12986535,15629002,806584,5608313,5532,269574247,52915909,50607695,117788,116423,36994072577,292.2,59.758,17
224,1095,1098,14666097,14666097,5842504,10088618,12504629,567346,4253059,687,229640279,49548445,46795038,86475,85769,30069590329,258.6,46.732,13
225,1508,1517,12060761,12060761,5566167,12427643,12720760,1644438,5027263,1171,283141095,60906251,58711866,113085,112285,24066109658,180.2,42.182,12
226,2949,2972,21963703,21963703,6891208,10878082,18465503,690717,5545149,1482,346314440,72947496,69360681,132868,130702,41178059627,367.4,64.723,18
227,2050,2059,18093506,18093506,5861591,13263085,15448524,2668252,5575548,1451,341007777,62621121,58953420,111342,110030,34596722258,282.8,61.835,16
228,3935,3957,21921032,21921032,7952859,14860196,17844309,1093802,6060685,143,387263141,69312613,64126619,125873,122905,45714081671,404.3,72.931,20
229,2671,2686,21864788,21864788,6334349,7811888,16410344,638616,3882951,1648,239744244,46757449,41675570,96835,93899,44085905223,391.4,79.626,20
230,4372,4414,17892093,17892093,5690895,13543061,13425060,973016,5065818,4453,251649864,50362751,46214952,110572,107817,30655183927,244.5,52.323,15
231,719,727,15849968,15849968,2170993,5491257,9333448,283724,3776036,20504,124406513,17524237,16530217,32743,32441,23786562257,185.0,43.589,11
232,5717,5760,17214148,17214148,3432388,16252591,15016538,1513633,7211191,1970,287574390,37593260,31162201,74973,69480,25911306024,202.1,45.317,12
233,240,243,14953479,14953479,6834704,11206897,10365188,498979,3113190,169,160384707,17476610,17397938,33011,32791,32866918474,309.4,53.741,15
234,265,265,12266605,12266605,5373654,6244749,7978493,311313,2266117,440,122203611,20105025,19997224,38648,38613,22240981678,197.3,39.25,10
235,852,861,22279724,22279724,6224425,9041095,13553581,477517,3210885,1168,180500980,28592958,28333509,57295,56896,37632100258,344.7,61.36,17
236,1047,1052,19934862,19934862,7215107,14232207,18749455,774239,5078919,2279,265054126,46828792,45658391,94303,93655,35460172502,314.5,57.799,16
