program,function,names,circuit,circuit_name,circuit_members,function_main_width,circuit_main_width,canonical_seed_words,canonical_seed_bytes,guarded_u8_seed_bytes_estimate,function_expansion_canonical,circuit_expansion_canonical,static_operation_sites,static_external_read_sites,preparation_arithmetic_sites,row_operation_sites,real_rows
ixvm,525,is_dec_prim_addr,6,ixvm_group_03,4,27,63,14,112,24,1.928571,4.500000,19,12,0,12,
ixvm,526,is_int_dec_prim_addr,85,ixvm_group_60,9,15,65,8,64,16,1.875000,8.125000,10,6,0,6,
ixvm,527,try_extract_int,85,ixvm_group_60,9,27,65,19,152,32,1.421053,3.421053,34,12,11,13,
ixvm,528,intern_int_lit,66,ixvm_group_41,11,13,55,8,64,16,1.625000,6.875000,15,6,9,6,
ixvm,529,try_normalize_int_decidable,78,ixvm_group_53,6,34,67,16,128,24,2.125000,4.187500,21,9,10,11,
ixvm,530,normalize_int_dec_rebuild,58,ixvm_group_37,11,25,79,22,176,32,1.136364,3.590909,29,13,13,13,
ixvm,531,try_dec_dispatch,78,ixvm_group_53,6,34,67,15,120,24,2.266667,4.466667,18,12,5,14,
ixvm,532,dec_rewrite_lt_to_le,89,ixvm_group_63,10,19,112,17,136,24,1.117647,6.588235,27,13,12,13,
ixvm,533,dec_dispatch_le_eq,55,ixvm_group_36,9,25,74,18,144,32,1.388889,4.111111,21,11,8,11,
ixvm,534,dec_build_proof,89,ixvm_group_63,10,47,112,32,256,40,1.468750,3.500000,64,26,37,29,
ixvm,535,try_str_dec_eq,77,ixvm_group_52,9,39,89,18,144,32,2.166667,4.944444,41,13,22,15,
ixvm,536,str_dec_eq_build,29,ixvm_group_21,12,49,219,34,272,48,1.441176,6.441176,71,29,40,31,
ixvm,537,dec_finish,67,ixvm_group_42,9,42,85,23,184,32,1.826087,3.695652,37,17,18,19,
ixvm,538,canon_ord_cmp_g,75,ixvm_group_50,11,19,62,3,24,16,6.333333,20.666667,5,0,0,2,
